"year","char","t","f","m"
2011,"a",0.124,0.143,0.106
2011,"b",0.018,0.009,0.027
2011,"c",0.032,0.039,0.025
2011,"d",0.036,0.025,0.046
2011,"e",0.077,0.097,0.059
2011,"f",0.03,0.022,0.037
2011,"g",0.022,0.018,0.026
2011,"h",0.018,0.02,0.016
2011,"i",0.021,0.023,0.02
2011,"j",0.072,0.046,0.095
2011,"k",0.02,0.023,0.018
2011,"l",0.146,0.156,0.137
2011,"m",0.102,0.098,0.105
2011,"n",0.057,0.055,0.058
2011,"o",0.013,0.008,0.016
2011,"p",0.022,0.019,0.025
2011,"q",0.001,0,0.002
2011,"r",0.038,0.028,0.047
2011,"s",0.072,0.097,0.051
2011,"t",0.029,0.019,0.037
2011,"u",0.001,0.002,0.001
2011,"v",0.02,0.023,0.017
2011,"w",0.003,0.002,0.004
2011,"x",0.001,0.001,0.001
2011,"y",0.017,0.015,0.019
2011,"z",0.007,0.01,0.004
2012,"a",0.134,0.154,0.114
2012,"b",0.021,0.01,0.031
2012,"c",0.037,0.048,0.026
2012,"d",0.037,0.02,0.052
2012,"e",0.075,0.104,0.048
2012,"f",0.031,0.024,0.037
2012,"g",0.025,0.02,0.03
2012,"h",0.02,0.021,0.019
2012,"i",0.021,0.023,0.019
2012,"j",0.068,0.051,0.083
2012,"k",0.022,0.022,0.023
2012,"l",0.131,0.129,0.133
2012,"m",0.109,0.116,0.103
2012,"n",0.055,0.052,0.057
2012,"o",0.011,0.007,0.014
2012,"p",0.015,0.011,0.019
2012,"q",0.001,0,0.001
2012,"r",0.033,0.026,0.04
2012,"s",0.07,0.09,0.052
2012,"t",0.029,0.016,0.042
2012,"u",0.003,0.003,0.002
2012,"v",0.021,0.018,0.023
2012,"w",0.002,0.002,0.003
2012,"x",0.001,0.001,0
2012,"y",0.019,0.015,0.023
2012,"z",0.009,0.016,0.002
2013,"a",0.126,0.157,0.096
2013,"b",0.018,0.009,0.028
2013,"c",0.04,0.051,0.028
2013,"d",0.035,0.014,0.055
2013,"e",0.077,0.1,0.055
2013,"f",0.031,0.021,0.041
2013,"g",0.021,0.016,0.026
2013,"h",0.022,0.022,0.021
2013,"i",0.022,0.025,0.018
2013,"j",0.078,0.049,0.107
2013,"k",0.016,0.014,0.018
2013,"l",0.13,0.137,0.124
2013,"m",0.105,0.11,0.1
2013,"n",0.061,0.06,0.062
2013,"o",0.013,0.012,0.015
2013,"p",0.018,0.015,0.021
2013,"q",0,0,0
2013,"r",0.032,0.027,0.036
2013,"s",0.072,0.091,0.053
2013,"t",0.029,0.017,0.04
2013,"u",0.002,0.001,0.002
2013,"v",0.018,0.014,0.021
2013,"w",0.003,0.002,0.005
2013,"x",0.001,0.001,0.001
2013,"y",0.018,0.018,0.018
2013,"z",0.01,0.014,0.006
2014,"a",0.122,0.143,0.101
2014,"b",0.019,0.009,0.03
2014,"c",0.039,0.049,0.029
2014,"d",0.037,0.02,0.054
2014,"e",0.08,0.094,0.066
2014,"f",0.028,0.025,0.032
2014,"g",0.023,0.02,0.026
2014,"h",0.022,0.022,0.021
2014,"i",0.021,0.024,0.018
2014,"j",0.067,0.049,0.084
2014,"k",0.021,0.017,0.025
2014,"l",0.133,0.134,0.131
2014,"m",0.118,0.113,0.122
2014,"n",0.059,0.055,0.063
2014,"o",0.01,0.009,0.012
2014,"p",0.016,0.019,0.014
2014,"q",0.002,0.001,0.002
2014,"r",0.032,0.024,0.041
2014,"s",0.069,0.094,0.045
2014,"t",0.027,0.016,0.039
2014,"u",0.002,0.003,0.002
2014,"v",0.022,0.024,0.02
2014,"w",0.002,0.002,0.002
2014,"x",0.001,0.001,0
2014,"y",0.017,0.015,0.018
2014,"z",0.009,0.015,0.002
2015,"a",0.122,0.142,0.103
2015,"b",0.021,0.012,0.029
2015,"c",0.035,0.046,0.025
2015,"d",0.035,0.017,0.051
2015,"e",0.079,0.101,0.059
2015,"f",0.027,0.019,0.034
2015,"g",0.022,0.02,0.024
2015,"h",0.023,0.024,0.021
2015,"i",0.021,0.028,0.015
2015,"j",0.068,0.048,0.086
2015,"k",0.02,0.015,0.025
2015,"l",0.13,0.13,0.13
2015,"m",0.113,0.115,0.111
2015,"n",0.056,0.048,0.063
2015,"o",0.016,0.014,0.017
2015,"p",0.015,0.014,0.015
2015,"q",0.001,0,0.002
2015,"r",0.039,0.031,0.046
2015,"s",0.068,0.095,0.043
2015,"t",0.033,0.021,0.044
2015,"u",0.003,0.002,0.003
2015,"v",0.025,0.024,0.027
2015,"w",0.002,0.001,0.003
2015,"x",0.001,0.001,0
2015,"y",0.017,0.017,0.017
2015,"z",0.009,0.014,0.004
